,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 2.5)]",0.9671875,0.8375,0.8967879074161549,0.89375,0.8935462408516301,10,0.0019974708557128906,"(1, 1)",1,False,True,True,True
1,LogisticRegression,"[('C', 0.25), ('penalty', 'l2')]",1.0,0.85,0.8481563538534578,0.84375,0.8432540460049375,10,0.006991863250732422,"(1, 1)",1,False,True,True,True
2,DecisionTreeClassifier,"[('max_depth', 2), ('min_samples_split', 2)]",0.71875,0.6859375,0.6634192331866751,0.6625,0.6620247222656861,10,0.003995656967163086,"(1, 1)",1,False,True,True,True
3,RandomForestClassifier,"[('max_depth', 16), ('min_samples_split', 4), ('n_estimators', 100)]",0.990625,0.8453125,0.8228358917550245,0.81875,0.8181746933657275,10,0.14385128021240234,"(1, 1)",1,False,True,True,True
