,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 0.5)]",0.9890625,0.834375,0.8877423389618512,0.8875,0.8874824191279889,10,0.0009984970092773438,"(1, 1)",1,False,False,True,False
1,LogisticRegression,"[('C', 5), ('penalty', 'l2')]",1.0,0.83125,0.8282828282828283,0.825,0.824561403508772,10,0.018993854522705078,"(1, 1)",1,False,False,True,False
2,DecisionTreeClassifier,"[('max_depth', 2), ('min_samples_split', 8)]",0.721875,0.696875,0.650093808630394,0.6499999999999999,0.6499453039537427,10,0.005993843078613281,"(1, 1)",1,False,False,True,False
3,RandomForestClassifier,"[('max_depth', 8), ('min_samples_split', 8), ('n_estimators', 1000)]",0.9765625,0.8453125,0.8156565656565656,0.8125,0.81203007518797,10,1.1438705921173096,"(1, 1)",1,False,False,True,False
