,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 1)]",1.0,0.828125,0.8967879074161549,0.89375,0.8935462408516301,10,0.0029969215393066406,"(1, 2)",1,False,False,True,True
1,LogisticRegression,"[('C', 10), ('penalty', 'l2')]",1.0,0.84375,0.8409090909090908,0.8374999999999999,0.8370927318295739,10,0.04495406150817871,"(1, 2)",1,False,False,True,True
2,DecisionTreeClassifier,"[('max_depth', 2), ('min_samples_split', 2)]",0.7390625,0.6953125,0.64377246444757,0.64375,0.6437360834407594,10,0.01898050308227539,"(1, 2)",1,False,False,True,True
3,RandomForestClassifier,"[('max_depth', 4), ('min_samples_split', 2), ('n_estimators', 1000)]",0.9609375,0.8515625,0.8510514985924822,0.83125,0.8288363247355284,10,0.9929814338684082,"(1, 2)",1,False,False,True,True
