,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 0.01)]",1.0,0.7546875,0.7429667519181586,0.7375,0.7360150848522942,10,0.0029964447021484375,"(2, 2)",1,False,False,True,True
1,LogisticRegression,"[('C', 0.1), ('penalty', 'l2')]",1.0,0.778125,0.6953125,0.6875,0.6843434343434343,10,0.014984846115112305,"(2, 2)",1,False,False,True,True
2,DecisionTreeClassifier,"[('max_depth', None), ('min_samples_split', 8)]",0.9859375,0.66875,0.6468599033816425,0.61875,0.5995897435897436,10,0.23975443840026855,"(2, 2)",1,False,False,True,True
3,RandomForestClassifier,"[('max_depth', 8), ('min_samples_split', 2), ('n_estimators', 500)]",0.9359375,0.7203125,0.7351097178683386,0.6875,0.6708360763660304,10,0.5953898429870605,"(2, 2)",1,False,False,True,True
