,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 0.1)]",1.0,0.753125,0.7666666666666666,0.7625,0.7615686274509803,10,0.001997709274291992,"(2, 2)",1,False,True,True,True
1,LogisticRegression,"[('C', 0.1), ('penalty', 'l2')]",1.0,0.79375,0.7083333333333333,0.7,0.6969696969696968,10,0.014984607696533203,"(2, 2)",1,False,True,True,True
2,DecisionTreeClassifier,"[('max_depth', None), ('min_samples_split', 16)]",0.959375,0.69375,0.6885632301701168,0.64375,0.6212467295153454,10,0.24175167083740234,"(2, 2)",1,False,True,True,True
3,RandomForestClassifier,"[('max_depth', 8), ('min_samples_split', 4), ('n_estimators', 500)]",0.9390625,0.73125,0.7213568354170936,0.66875,0.6478259063914614,10,0.5834019184112549,"(2, 2)",1,False,True,True,True
