,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 0.01)]",1.0,0.825,0.8126954346466542,0.8125,0.8124706985466479,10,0.003996133804321289,"(1, 2)",1,False,False,True,False
1,LogisticRegression,"[('C', 2.5), ('penalty', 'l2')]",1.0,0.8484375,0.839409176618479,0.8375,0.8372711625723674,10,0.08391451835632324,"(1, 2)",1,False,False,True,False
2,DecisionTreeClassifier,"[('max_depth', 2), ('min_samples_split', 2)]",0.721875,0.6890625,0.650093808630394,0.6499999999999999,0.6499453039537427,10,0.023975610733032227,"(1, 2)",1,False,False,True,False
3,RandomForestClassifier,"[('max_depth', None), ('min_samples_split', 4), ('n_estimators', 1000)]",1.0,0.83125,0.8282828282828283,0.825,0.824561403508772,10,3.617292642593384,"(1, 2)",1,False,False,True,False
