,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 0.25)]",1.0,0.828125,0.8692692849319354,0.8687499999999999,0.8687038411941698,10,0.0029964447021484375,"(1, 2)",1,False,True,True,True
1,LogisticRegression,"[('C', 2.5), ('penalty', 'l2')]",1.0,0.8578125,0.8503742634177417,0.84375,0.8430079673456574,10,0.04295611381530762,"(1, 2)",1,False,True,True,True
2,DecisionTreeClassifier,"[('max_depth', 16), ('min_samples_split', 16)]",0.91875,0.6890625,0.7083333333333333,0.7,0.6969696969696968,10,0.10988736152648926,"(1, 2)",1,False,True,True,True
3,RandomForestClassifier,"[('max_depth', 2), ('min_samples_split', 16), ('n_estimators', 1000)]",0.94375,0.85,0.8065917220235054,0.78125,0.7766343584220813,10,0.8840930461883545,"(1, 2)",1,False,True,True,True
