,Classifier,Parameters,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,CV Splits,Training time,ngram_range,min_df,stemming,lemmatization,lowercase,remove_stops
0,MultinomialNB,"[('alpha', 2.5)]",0.9625,0.8390625,0.8688076261915925,0.86875,0.8687448728465956,10,0.00099945068359375,"(1, 1)",1,True,False,True,True
1,LogisticRegression,"[('C', 0.01), ('penalty', 'l2')]",0.9515625,0.853125,0.8125,0.8125,0.8125,10,0.0039958953857421875,"(1, 1)",1,True,False,True,True
2,DecisionTreeClassifier,"[('max_depth', 2), ('min_samples_split', 2)]",0.71875,0.6828125,0.6634192331866751,0.6625,0.6620247222656861,10,0.0039958953857421875,"(1, 1)",1,True,False,True,True
3,RandomForestClassifier,"[('max_depth', None), ('min_samples_split', 4), ('n_estimators', 1000)]",1.0,0.853125,0.8734768159518911,0.86875,0.8683333986441475,10,1.8780748844146729,"(1, 1)",1,True,False,True,True
